2009,1,135
2009,2,107
2009,3,108
2009,4,107
2009,5,97
2009,6,133
2009,7,125
2009,8,122
2009,9,129
2009,10,203
2009,11,219
2009,12,221
2010,1,225
2010,2,215
2010,3,242
2010,4,216
2010,5,213
2010,6,234
2010,7,262
2010,8,336
2010,9,344
2010,10,474
2010,11,448
2010,12,449
2011,1,479
2011,2,445
2011,3,431
2011,4,464
2011,5,503
2011,6,470
2011,7,505
2011,8,484
2011,9,373
2011,10,486
2011,11,420
2011,12,502
2012,1,444
2012,2,519
2012,3,627
2012,4,781
2012,5,859
2012,6,854
2012,7,976
2012,8,736
2012,9,671
2012,10,733
2012,11,621
2012,12,498
2013,1,463
2013,2,327
2013,3,362
2013,4,375
2013,5,325
2013,6,376
2013,7,409
2013,8,373
2013,9,342
2013,10,334
2013,11,371
2013,12,363
2014,1,384
2014,2,329
2014,3,324
2014,4,259
2014,5,251
2014,6,291
2014,7,247
2014,8,248
2014,9,198
2014,10,178
2014,11,229
2014,12,232
2015,1,181
2015,2,132
2015,3,204
2015,4,166
2015,5,136
2015,6,134
2015,7,183
2015,8,152
2015,9,140
2015,10,124
2015,11,114
2015,12,125
2016,1,106
2016,2,92
2016,3,103
2016,4,105
2016,5,118
2016,6,110
2016,7,132
2016,8,110
2016,9,80
2016,10,86
2016,11,84
2016,12,67
